time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-20T02:08:53.777Z,-29.1979,-71.4091,35,4.5,mb,36,183,0.648,0.75,us,us6000jaf9,2022-12-20T03:19:46.957Z,"79 km N of La Serena, Chile",earthquake,3.57,1.739,0.18,9,reviewed,us,us
2022-12-19T21:44:25.490Z,7.7501,124.7306,9.754,4.9,mb,78,94,1.079,0.39,us,us6000jaec,2022-12-19T23:40:48.524Z,"1 km SSE of Kimanuit, Philippines",earthquake,8.29,3.849,0.064,77,reviewed,us,us
2022-12-19T20:10:50.273Z,-22.296,-68.6122,115.045,4.9,mww,108,37,0.766,0.43,us,us6000jae1,2022-12-22T15:11:31.668Z,"Antofagasta, Chile",earthquake,6.05,4.909,0.089,12,reviewed,us,us
2022-12-19T17:31:17.614Z,20.0872,95.9783,10,4.5,mb,26,149,0.342,0.51,us,us6000jadi,2022-12-22T15:18:34.975Z,"41 km NNW of Nay Pyi Taw, Myanmar",earthquake,4.51,1.941,0.15,13,reviewed,us,us
2022-12-19T09:05:56.689Z,17.2088,120.8003,11.029,5.2,mb,65,89,5.586,0.72,us,us6000jaa2,2022-12-19T14:45:44.142Z,"Luzon, Philippines",earthquake,10.28,4.757,0.069,69,reviewed,us,us
2022-12-19T08:32:14.086Z,-8.6091,161.1872,10,4.5,mb,19,174,1.476,0.27,us,us6000jaa7,2022-12-19T10:08:44.040Z,"56 km ENE of Auki, Solomon Islands",earthquake,9.62,1.952,0.135,16,reviewed,us,us
2022-12-19T05:50:15.086Z,-5.4618,104.5225,113.937,5.1,mb,67,49,1.906,1.09,us,us6000ja8n,2022-12-19T06:09:46.040Z,"80 km SSW of Kotabumi, Indonesia",earthquake,4.36,6.59,0.067,72,reviewed,us,us
2022-12-19T04:43:57.095Z,-59.5594,-25.9433,56.042,5,mb,47,91,7.821,0.72,us,us6000ja8c,2022-12-19T05:06:44.040Z,"South Sandwich Islands region",earthquake,8.58,7.833,0.085,44,reviewed,us,us
2022-12-19T00:57:03.902Z,-3.5053,-77.0414,93.315,4.9,mww,104,126,6.019,0.92,us,us6000ja7n,2022-12-20T03:28:27.085Z,"67 km W of Alianza Cristiana, Peru",earthquake,9.3,6.861,0.098,10,reviewed,us,us
2022-12-19T00:18:42.503Z,-21.6307,-176.1465,143.504,4.9,mb,77,39,0.991,0.57,us,us6000ja7f,2022-12-20T03:19:57.040Z,"Fiji region",earthquake,9.65,6.389,0.039,205,reviewed,us,us
